Source,Date Uploaded,Time Uploaded,Summary,Date,Estimated Time,Killed,Injured,Number of Incidents,High Impact,Source/Info Rating,Location Accuracy,Longitude,Province,Location,Activity Type,Incident Type,Incident Sub-Type,Instigator,Sub-Type,Target,Sub-Type,Criminal Charges,Physical_Context,Reason for Protest,Number of Protesters,PMU Faction,Tribal Group,Major Storm,Tactic ,Unusual Social / Political Tension,Threat Level,Disease Outbreak,Drought
,,,"A civil society organization launched a program to prevent conflict and exploitation in the mining and natural resources sectors on 19 May. The ""For an Inclusive and Peaceful Society in Mozambique"" is to last to for three years that allow civil societies to prevent and respond to crises or emergence of disputes between communities, institutions and the private sector.",19-05-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.873385, 32.605189",Nationwide,Nationwide,Announcement,Announcement,Announcement,Local_Civilian,Union,National_Government,National Government,,,,,,,,,,,,
,,,"Total on 19 May that it would continue the payment of ""outstanding amounts"" to small and medium-sized companies connected to the Golfinho/Atum project.  The company also said it remained committed to natural gas projects in Cabo Delgado, despite recent insurgent attacks.",19-05-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-11.863555, 39.581459",Cabo Delgado,Cabo Delgado,Announcement,Announcement,Announcement,Industry_Infrastructure,Oil and Gas,National_Government,National Government,,,,,,,,,,,,
,,,"The Institute for Disaster Risk Management and Reduction announced on 19 May that Inhambane province requires 300 million meticais to recover from Cyclone damage suffered by the province in recent years. The funds were also to help rehabilitate the agriculture, health, education, and transportation sectors. ",19-05-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-23.885396, 35.389720",Inhambane,Inhambane,Announcement,Announcement,Announcement,National_Government,Government Employee,National_Government,Local Gov,,,,,,,,,,,,
,,,Ncondezi Energy stated that they are still waiting for the response of Electricidade de Mozambique regarding their studies based on the 300Mw coal powered electricity and coal mine in Tete on 19 May.  The studies were previously submitted to the government this past December. ,19-05-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-16.141638, 33.756243",Tete ,Tete,Announcement,Announcement,Announcement,Industry_Infrastructure,Electricity,National_Government,National Government,,,,,,,,,,,,
,,,"The National Inspection of Economic Activities (INAE) suspended Juga's Water branch in Avenida das Industrias, Machava, on 10 May. The branch was suspended due to poor work hygienic conditions of their collection, treatment , and sale of ""purified"" water. Other branches in Maputo were open. ",19-05-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-25.916326, 32.487160",Maputo,"Avenida das Industrias, Machava",Hazard,Security_Response,Other Security Operation,National_Government,Government Employee,Industry_Infrastructure,Water,,,,,,,,,,,,
,,,Locals recovered the body of a civilian found on a truck bed in Maputo on the morning of 19 May. No details were available as to the cause of death.,19-05-2021,0600-1159,1,0,1,No,Reliable,City / Town,"-25.849753, 32.597003",Maputo City,Maputo City,Hazard,Hazard,Other Accident,Other,Accident,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"The Monetary Policy Committee of the Bank of Mozambique announced that interest rates would remain the same after a meeting in Xai-xai on 19 May. The committee stated that the Interbank Money Market Rate, which is used by the central bank for monetary interventions was at 13.25%. The interest rate paid by commercial banks to the central bank for money borrowed is at 16.25%. While the central bank deposit rate to commercial banks is at 10.25%.",19-05-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.066331, 33.667759",Nationwide,Nationwide,Announcement,Announcement,Announcement,National_Government,Government Employee,Industry_Infrastructure,Banking,,,,,,,,,,,,
,,,The National Institute of the Sea conducts an investigation regarding the collision between two ships at Beira Port on 19 May. Two ships reportedly collided with each other during heavy fog at the port earlier in the day.,19-05-2021,NA / Unknown,0,0,1,No,Reliable,Landmark / Coordinates,"-19.824017, 34.833481",Sofala,Beira,Announcement,Announcement,Announcement,National_Government,Government Employee,Industry_Infrastructure,Other Industry,,,,,,,,,,,,
,,,Two ships collided with each other at Beira Port due to the lack of visibility caused by a heavy fog early morning of 19 May. Both ships were docked after the incident. Port officials stated that an investigation to provide more details regarding the collision.  ,19-05-2021,NA / Unknown,0,0,1,No,Reliable,Landmark / Coordinates,"-19.824017, 34.833481",Sofala,Beira,Hazard,Hazard,Other Accident,Other,Accident,Industry_Infrastructure,Other Industry,,,,,,,,,,,,
,,,"Frelimo Secretary-General Roque Silva called on the party's youth not to join any criminal group or the Cabo Delgado insurgency. Silva stated the insurgents were only recruiting youths with ""empty promises"".",18-05-2021,NA / Unknown,0,0,1,No,Reliable,National,"-12.990073, 39.026650",Nationwide,Nationwide,Announcement,Warning,Disruptive Threat,Political_Party,FRELIMO*,Political_Party,FRELIMO*,,,,,,,,,,,,
,,,"A fire broke out burning down 200 stalls at the Chuaula Market, south Lichinga, at around 04:30 on 19 May. The fire was reportedly caused by a short circuit at one of the stalls. Firefighters responded and doused the flames four hours after responding.",19-05-2021,NA / Unknown,0,0,1,No,Reliable,Landmark / Coordinates,"-13.311030, 35.262741",Niassa,"Chuaula Market, Lichinga",Hazard,Hazard,Fire,Other,Accident,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,Police Commander-in-Chief Rafael stated that additional resources would be provided to provincial police stations with resources to tackle organized crime in their respective provinces. The police were gradually deploying assets to district command for control and force missions.,17-05-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.979552, 32.592676",Nationwide,Nationwide,Military Operations,Announcement,Announcement,Security_Forces,Mozambican Police *,Security_Forces,Mozambican Police *,,,,,,,,,,,,
,,,"Engineering students gathered and protested at the Faculty of Engineering in Eduardo Mondlane University, south Maputo City, early evening of 19 May. The protesters demanded a reduction of their 25,000 meticais tuition fees to 5,000 meticais for the second semester. The protesters claimed that they studied for only four weeks and have previously attempted to discuss the issue with the university board.",19-05-2021,1800-2359,0,0,1,No,Reliable,Landmark / Coordinates,"-25.951454, 32.604155",Maputo City,"Faculty of Engineering in Eduardo Mondlane University, Maputo City",Civil Unrest,Protest,Protest Camp,Local_Civilian,Civil Activist / Protester,National_Government,Government Employee,,,,,,,,,,,,
,,,"South African jurist Andre Thomashausen stated that the prolonged detention of Manuel Chang was due to the inability of South Africa and Mozambique to decide on the extradition process. Manuel Chang was detained in South Africa on 2018 for diverting load funds and was involved with the ""Hidden Debts"" case in Mozambique. Thomashausen stated that South Africa is not responsible for resolving competing extradition requests from Mozambique and the US. This comes after the Mozambican government on 14 May again requested the extradition of Chang.",19-05-2021,1800-2359,0,0,1,No,Reliable,National,"-25.950611, 32.590016",Nationwide,Nationwide,Announcement,Announcement,Announcement,National_Government,National Government,Foreign_Government,South Africa,,,,,,,,,,,,
,,,"Local residents of Inhassoro marched in protest on 20 May, protesting against an oil company operating in the area, calling for the company to provide more jobs to locals in the area.  Protesters said the oil company was only providing jobs to people from Maputo, and said they would continue demonstrations until the company ""comply with everything"".  Other local residents said they had been charged up to 5000 metical to secure a job with the company, while others said the company had neglected the local community.  ",20-05-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-21.541806, 35.196380",Inhambane,Inhassoro,Civil Unrest,Protest,Protest Camp,Local_Civilian,Civil Activist / Protester,Industry_Infrastructure,Oil and Gas,,,Unemployment,,,,,,,,,
,,,A truck smuggling cooking oil coming from Mozambique was involved in a vehicle accident near Milange on 14 May. The truck was transporting several 20L containers filled with cooking oil. Malawi security forces responded and began an investigation.,14-05-2021,NA / Unknown,0,0,1,No,Reliable,County / District,"-16.083377, 35.742551",Zambezia,Milange,Crime,Smuggling,Smuggling: Other,Criminal,Nonviolent Criminal,Criminal,Nonviolent Criminal,,,,,,,,,,,,
,,,A truck smuggling cooking oil coming from Mozambique was involved in a vehicle accident near Milange on 14 May. The truck was transporting several 20L containers filled with cooking oil. Malawi security forces responded and began an investigation.,14-05-2021,NA / Unknown,0,0,1,No,Reliable,County / District,"-16.083377, 35.742551",Zambezia,Milange,Hazard,Hazard,Major RTA,Criminal,Nonviolent Criminal,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"Locals recovered the body of a mother and three children of the same family inside their residence in Nhamaonha, east Chimoio, on the night of 20 May. The victims were suspected to be murdered by mother of the boyfriend of the deceased mother. ",20-05-2021,NA / Unknown,0,0,1,No,Reliable,Neighborhood / Village,"-19.123781, 33.499000",Manica,"Nhamaonha, Chimoio",Crime,Physical_Altercation,Other Assault,Criminal,Violent Criminal,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,South African officials recently stated that they are still waiting for the Mozambican government to issue an “invitation” for them to intervene against the insurgency in Mozambique. The Mozambican government has previously stated that they are willing to request assistance. ,20-05-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.9587,32.5651",Nationwide,Nationwide,Announcement,Announcement,Announcement,Foreign_Government,SADC,National_Government,National Government,,,,,,,,,,,,
,,,"Security forces detained two men suspected to be insurgents in Metangula, Lago District of Niassa province on 20 May.  The two reportedly spoke Kiswahili; it was unclear how they were identified as terrror suspects. The suspects were transported to Lichinga for interrogation. The two men allegedly were recruiting in different parts of the province.",20-05-2021,NA / Unknown,0,0,1,No,Fairly Reliable,County / District,"-12.693262, 34.814386",Niassa,Metangula,Terrorism,Security_Response,Arrest,Security_Forces,Mozambican Military *,Terrorist,Cabo Delgado Insurgents,Terrorism,,,,,,,,,,,
,,,An NGO stated that IDPs in some areas in Cabo Delgado are allegedly registering more than once as IDPs in different locations to receive additional relief goods. This is reportedly part of a wider corruption scheme in which the additional aid is reportedly sold on black market. ,20-05-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-12.992348, 40.555943",Cabo Delgado,Cabo Delgado,Crime,Theft,Corruption,Local_Civilian,IDPs,Humanitarian_NGO ,NGO Policy,,,,,,,,,,,,
,,,"President Nyusi stated that talks in France with President Macron, Total, and others was a success, and assured that peace and security will be restored in areas impacted by terrorists. Nyusi assured Total security forces would create a secure environment for oil and gas companies to resume operations in Cabo Delgado. France also stated that they will support Mozambique against terrorism, though not specific form was stated.",20-05-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-10.878424, 40.460547",Cabo Delgado,Cabo Delgado,Announcement,Announcement,Announcement,National_Government,National Government,Foreign_Government,France,,,,,,,,,,,,
,,,An association for sexual minority rights stated that a study indicates that two out of three gay people are being discriminated in Mozambique. The study stated that most incidents occur in school where bullying is one of the common forms of discrimination; teachers often also initiate discrimination incidents.,20-05-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.945339, 32.575320",Nationwide,Nationwide,Announcement,Warning,Disruptive Threat,Local_Civilian,Civilian / Shop,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
